metric,condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
f1_Normal,CBAM_full,ViT_full,0.5880709856309354,0.677280409834541,-0.08920942420360556,-3.288297874600259,0.030263835023189398,yes,no
f1_Normal,CBAM_full,ViT_roi,0.5880709856309354,0.5755473111108863,0.012523674520049188,0.16369134051308007,0.8779120345183941,no,no
f1_Normal,CBAM_roi,ViT_full,0.5150586603630931,0.677280409834541,-0.1622217494714478,-9.453923449081348,0.0006982060527492548,yes,yes
f1_Normal,CBAM_roi,ViT_roi,0.5150586603630931,0.5755473111108863,-0.06048865074779306,-1.1947592092028925,0.2981789284272878,no,no
f1_Normal,ViT_full,ViT_roi,0.677280409834541,0.5755473111108863,0.10173309872365474,1.6724498271964596,0.16975231053108544,no,no
f1_Cyst,RN50_full,RN50_roi,0.47896868359203815,0.6291067639906003,-0.15013808039856216,-5.208120905562146,0.0064799603789674485,yes,no
f1_Cyst,RN50_full,CBAM_full,0.47896868359203815,0.43363961991972444,0.04532906367231373,1.0020069002020942,0.37304021812042315,no,no
f1_Cyst,RN50_full,CBAM_roi,0.47896868359203815,0.5845722120451106,-0.1056035284530725,-3.8142490100049375,0.018871168423677476,yes,no
f1_Cyst,RN50_full,ViT_full,0.47896868359203815,0.4806514038285439,-0.0016827202365057026,-0.036871868198794504,0.9723539286477308,no,no
f1_Cyst,RN50_full,ViT_roi,0.47896868359203815,0.6028927936377966,-0.12392411004575847,-1.9000855416262468,0.13022600293334288,no,no
f1_Cyst,RN50_roi,CBAM_full,0.6291067639906003,0.43363961991972444,0.1954671440708759,4.841481153021636,0.008391063094595759,yes,no
f1_Cyst,RN50_roi,CBAM_roi,0.6291067639906003,0.5845722120451106,0.04453455194548965,1.4995193690992517,0.208118153918928,no,no
f1_Cyst,RN50_roi,ViT_full,0.6291067639906003,0.4806514038285439,0.14845536016205646,3.3047926983166676,0.029799328318962252,yes,no
f1_Cyst,RN50_roi,ViT_roi,0.6291067639906003,0.6028927936377966,0.026213970352803685,0.5048266411066783,0.6402235029551878,no,no
f1_Cyst,CBAM_full,CBAM_roi,0.43363961991972444,0.5845722120451106,-0.15093259212538623,-3.029103578970991,0.03881467550263561,yes,no
f1_Cyst,CBAM_full,ViT_full,0.43363961991972444,0.4806514038285439,-0.04701178390881943,-2.9651072216086067,0.041344372979612846,yes,no
f1_Cyst,CBAM_full,ViT_roi,0.43363961991972444,0.6028927936377966,-0.1692531737180722,-3.1685080318780767,0.03390624432490944,yes,no
f1_Cyst,CBAM_roi,ViT_full,0.5845722120451106,0.4806514038285439,0.1039208082165668,1.8043841093052773,0.14549439784114251,no,no
f1_Cyst,CBAM_roi,ViT_roi,0.5845722120451106,0.6028927936377966,-0.01832058159268597,-0.3501383413718908,0.7438944249651356,no,no
f1_Cyst,ViT_full,ViT_roi,0.4806514038285439,0.6028927936377966,-0.12224138980925277,-1.807762344316349,0.14492387154031258,no,no
f1_Tumor,RN50_full,RN50_roi,0.8100017200913749,0.8229824323130579,-0.01298071222168289,-0.515991320504601,0.6330719535326558,no,no
f1_Tumor,RN50_full,CBAM_full,0.8100017200913749,0.8014200194428127,0.008581700648562207,0.3365853130095988,0.7533471183776724,no,no
f1_Tumor,RN50_full,CBAM_roi,0.8100017200913749,0.8067283926413704,0.003273327450004526,0.1158832721242029,0.9133298463159424,no,no
f1_Tumor,RN50_full,ViT_full,0.8100017200913749,0.7932431861893121,0.016758533902062833,0.5933037905107152,0.5848992491252932,no,no
f1_Tumor,RN50_full,ViT_roi,0.8100017200913749,0.8311652702010847,-0.02116355010970965,-0.8264191287604254,0.45501077649566507,no,no
f1_Tumor,RN50_roi,CBAM_full,0.8229824323130579,0.8014200194428127,0.021562412870245094,0.826292845886166,0.4550746435353299,no,no
